JobTitle,Company,CompanyRating,JobLocation,Remote,PostDate,ExtractionDate,JobUrl
Data Scientist Intern - Advanced Analytics,McKinsey & Company,"4,3","Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=2194027a25d0d5c1&fccid=6576e7250aa78c3c&vjs=3
Data Scientist,INECO,"3,8","Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d2810e2690f803da&fccid=30d1a2ebf6cb4c77&vjs=3
Data Analyst - B2B (They/She/He),Glovo,"3,1","Barcelona, Barcelona provincia",False,hace 9 días,2021-03-29,https://es.indeed.com/rc/clk?jk=bf1f30907154772d&fccid=e79aa74d1d3ace1e&vjs=3
Data Science Intern,King.com,,"Barcelona, Barcelona provincia",False,hace 23 días,2021-03-29,https://es.indeed.com/rc/clk?jk=9399ac5b35bc2d68&fccid=5f2cea8400b4965b&vjs=3
"Data Product Manager, Data & Analytics, Spain or Germany Remote",Vistaprint,"3,5","Barcelona, Barcelona provincia",True,hace 9 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d9d844a77d48f340&fccid=3755b60c862441f9&vjs=3
"Data Scientist – Travel/AI – BARCELONA, ES",fut-ure.com,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=0fbb957a228d3de4&fccid=e436b65b50a9ba9d&vjs=3
Data Scientist- Analista- Programador BI,Grupo DISA,"3,8","Santa Cruz de Tenerife, Santa Cruz de Tenerife provincia",False,hace 16 días,2021-03-29,https://es.indeed.com/rc/clk?jk=3323d3a231f12831&fccid=a9d8b1fac9579a77&vjs=3
Data Scientist,Skillsearch Limited,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=52b37b0c12ccf3ff&fccid=7a29f275e958f92d&vjs=3
Data Scientist @ Reby,Reby,,"Barcelona, Barcelona provincia",False,hace 5 días,2021-03-29,https://es.indeed.com/rc/clk?jk=2836e7b145ea67e0&fccid=56a5194491f84d6b&vjs=3
Senior Scientist,QIAGEN,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=02b48d5336e6704f&fccid=58e44ef0852f1a0d&vjs=3
Senior Data Scientist - Pricing,Glovo,"3,1","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=40926ae84eae1984&fccid=e79aa74d1d3ace1e&vjs=3
